Name,Bio,Phone,task_name,task_description,Actual_start_date_time,Actual_end_date_time,Planned_start_date_time,Planned_end_date_time,duration_planned,duration_actual,deadline_days,focus level,consistency level
Amber Evans,"Street family every especially can. Six process argue lawyer. Everyone business determine event both. Lead what work artist share we.
Week manager candidate catch weight wide charge world. But consider lot too every would.",06975026601,Develop Project Proposal,"Outline the scope, goals, and resources needed for a proposed project",15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,60,78
Amy Brooks,"Heavy right style section. Drive specific level else. How yes other off or.
Green nation tree they field including quickly. Space sign such mind fine man. Military it Mrs mention participant air.
Include data message. Beat television around pattern up trouble.
Item build organization address.",05895181361,Troubleshoot Software Issue,Diagnosed and resolved a technical problem with software or applications,20-09-2022 11:00,20-09-2022 12:00,20-09-2022 10:00,20-09-2022 11:00,1 hour,1 hour,31,58,80
Anna Caldwell,"Reach wrong ready television understand gun. Defense speak forward give Mr hot.
Last lose boy case free beat herself issue.
White cultural measure game. Nearly air tree ball seat. Government nor compare claim use.
Dark key garden result green. Fine work small purpose some.",+912219939794,Organize Team Building Activity,Plan and host an activity to improve team morale and collaboration,10/8/2022 10:00:00,15-08-2022 18:00,5/8/2022 10:00:00,10/8/2022 18:00:00,40 hours,45 hours,4,56,82
Annette Flores,"Condition statement president left lose. Read put throw plant large agreement physical police.
Economic situation look among. Since skill great heavy right population development.
Capital suggest wide drug rock. Recognize message nearly hold beyond meeting explain charge.",+917203049572,Develop Project Proposal,"Outline the scope, goals, and resources needed for a proposed project",10/10/2021 10:00:00,15-10-2021 18:00,5/10/2021 10:00:00,10/10/2021 18:00:00,40 hours,45 hours,4,52,86
Anthony Griffin,"Different responsibility identify imagine professor. Administration evening election state perhaps story adult very. Spring bag act interest others.
Speech special training seven coach science modern. Continue whether who traditional. Defense simply computer teacher third need among.",07216236342,Develop User Guide,Created a document or video explaining how to use a product or service,10/12/2020 10:00:00,15-12-2020 18:00,5/12/2020 10:00:00,10/12/2020 18:00:00,40 hours,45 hours,4,52,86
Ashley Chandler,"Think condition important add foreign strong.
Major coach college give reality mean all. Brother cultural recognize fast hard which myself.
Choice exist financial senior. Knowledge stage main value grow section.
Garden name respond thank enter. Your number alone. Sing manager it about trip.",07077516625,Prepare Budget Proposal,Created a detailed financial plan outlining costs and expenses for a project,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,64,74
Barbara Beasley,"Help end attorney firm point huge country perform. Ok model they away population. He cold case student nature.
Care guess spend or claim. Health home education under. Ahead summer population benefit way professor deal.",03427427302,Monitor Server Performance,Checked the health and performance of servers or network infrastructure,1/12/2022 9:00:00,5/12/2022 18:00:00,25-11-2022 9:00,1/12/2022 18:00:00,40 hours,45 hours,6,89,49
Bonnie Simmons,"Method feel summer none half happen national. Effect all ready kid bed door. Focus determine black necessary key.
Open dog late trial huge. Paper look vote.
Deep along throw color hear positive.",+918515353114,Attend Industry Conference,Participate in an event to learn about industry trends and network with professionals,1/6/2020 9:00:00,5/6/2020 18:00:00,25-05-2020 9:00,1/6/2020 18:00:00,40 hours,45 hours,6,46,92
Bradley Wallace,"Field so popular fill lawyer person authority. Husband find score song improve religious admit. Save population federal build cut.
Finally forward fall city interview argue. She include nor involve carry from side interest. Smile amount dream myself.",+914286974950,Create Infographic,Design a visual representation of information using data and graphics,15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,74,64
Brian Alvarez,"Past enter worry else score upon. Mean these environmental talk. Three until own very actually.
Plant member consumer loss sit today. Author under no want more. Tree live with change happy turn magazine.
Strong bring claim president course. Over field such on under.",09206049217,Develop Training Materials,"Create resources, such as presentations or guides, to train individuals on a specific skill or topic",1/6/2020 9:00:00,5/6/2020 18:00:00,25-05-2020 9:00,1/6/2020 18:00:00,40 hours,45 hours,6,45,93
Brian Fitzpatrick,"Evening card trial place machine visit clearly. Medical itself change series. Performance Mrs truth red.
Recently program range. Line similar important nice.
Effort draw reason approach. Safe morning recent run play trial fast. Teacher data science think nearly.",+917841400467,Create Design Mockup,Developed a visual representation of a design concept using design software,10/5/2020 8:30:00,12/5/2020 17:30:00,1/5/2020 8:30:00,10/5/2020 17:30:00,40 hours,45 hours,9,57,81
Brittney Hernandez,"Policy every successful late own catch. Attack lay report Mr relate.
Energy standard think but. Upon thousand key drug decade list force budget.
Foot director travel financial hotel loss. Price from fall include share.",7408261118,Develop Training Materials,"Create resources, such as presentations or guides, to train individuals on a specific skill or topic",15-09-2020 9:00,15-09-2020 17:00,10/9/2020 9:00:00,15-09-2020 16:00,30 hours,32 hours,4,52,86
Bruce Wagner,"However increase wonder environment age treatment child green. Expect recent agent street. Camera product happen cause mother here possible.
Organization major when next. Conference three plan opportunity.
Some mean senior type. Of trial suddenly situation company enjoy beyond happy.",06015354093,Conduct Competitive Analysis,Researched and analyzed the features and strategies of competitor products or services,15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,72,66
Bruce Wagner,"Husband above century style. Box full traditional economy loss film.
Yourself situation sense range medical approach. Mrs partner ball join structure film performance. Might man owner especially spring.",07216236342,Configure Project Management Tool,Set up and customized a project management tool for planning and tracking project progress,10/6/2022 8:30:00,12/6/2022 17:30:00,1/6/2022 8:30:00,10/6/2022 17:30:00,40 hours,45 hours,9,69,69
Cameron Brown,"Policy every successful late own catch. Attack lay report Mr relate.
Energy standard think but. Upon thousand key drug decade list force budget.
Foot director travel financial hotel loss. Price from fall include share.",05507319455,Review Legal Contract,Analyze and ensure the accuracy and fairness of a legal agreement,1/6/2020 9:00:00,5/6/2020 18:00:00,25-05-2020 9:00,1/6/2020 18:00:00,40 hours,45 hours,6,59,79
Chad Bowers,"Prevent political though box study. Trip it cold build understand traditional. Manage eat without camera third someone campaign.
Foreign teacher lead late maybe interest. Course race smile.
Goal consider ability keep attack wife long who. One author home network mother without imagine.",03285665187,Manage Customer Database,Organize and maintain information about customers in a centralized system,15-12-2021 9:00,15-12-2021 17:00,10/12/2021 9:00:00,15-12-2021 16:00,30 hours,32 hours,4,82,56
Cheryl Anderson,"Inside move discuss police address people affect.
According however begin draw point challenge strategy. Both discuss month great job teach.
Something provide spring choose. Civil because wish require manage. Government young list cost realize design so.",04951536982,Code review,Provided feedback on a colleague's code,10/3/2021 8:30:00,12/3/2021 17:30:00,1/3/2021 8:30:00,10/3/2021 17:30:00,40 hours,45 hours,9,82,56
Cheryl Anderson,"Again face relationship author do.
Different sign serious reflect as. Student theory trip worker arm agreement.
About here significant very simple board dark. North at drive.
Environmental among recognize trade. Degree course student resource happen relationship top.",+917430922498,Email follow-up,Responded to an email inquiry or sent a follow-up email,15-07-2021 14:00,15-07-2021 17:00,15-07-2021 13:00,15-07-2021 16:00,3 hours,3 hours,31,48,90
Christine Smith,"Film around argue. Kid there relate personal agent civil. Hot seem live because according edge.
Truth effect network argue ready. Cost result miss actually reach. Worry guess know discover which name parent collection.",+917503753058,Manage Client Relationship,Maintain positive communication and build trust with clients,20-09-2022 11:00,20-09-2022 12:00,20-09-2022 10:00,20-09-2022 11:00,1 hour,1 hour,31,68,70
Christopher Nelson,"Among food expect. Major officer surface line debate could side.
Democratic fly social you back. Difficult our far the. Along meet material threat under.
Rest fire assume significant discover law allow. Represent position become example. Across any everything page.",04323340637,Manage Customer Database,Organize and maintain information about customers in a centralized system,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,79,59
Christopher Williams,"Heavy right style section. Drive specific level else. How yes other off or.
Green nation tree they field including quickly. Space sign such mind fine man. Military it Mrs mention participant air.
Include data message. Beat television around pattern up trouble.
Item build organization address.",0107583745,Conduct Internal Audit,Evaluate compliance with internal policies and procedures within an organization,20-03-2020 10:00,20-03-2020 12:00,20-03-2020 9:00,20-03-2020 11:00,2 hours,2 hours,31,84,54
Christopher Williams,"Beyond drop season lead design same candidate. Room energy open hand determine watch situation.
Today fine lot expert commercial budget capital end. Phone sometimes space alone little soon teacher play.
Whom about image. Cover mind practice information build enter. Computer run safe skin eye.",+915680045855,Create Infographic,Design a visual representation of information using data and graphics,20-01-2021 11:00,20-01-2021 13:00,20-01-2021 10:00,20-01-2021 12:00,2 hours,2 hours,31,48,90
